,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings,pIC50
0,425.2386670920001,-0.9749999999999945,12,6,0.7222222222222222,5,2,177.65,0,9.398
1,439.254317156,-0.714299999999995,12,5,0.7368421052631579,5,2,163.66,0,9.155
2,474.22268267999993,0.27817000000000264,12,5,0.5,8,3,169.35999999999996,1,9.155
3,548.29987038,3.508200000000003,9,2,0.5483870967741935,9,5,110.25999999999999,2,9.0
4,430.13109080399994,1.2171699999999996,9,5,0.25,8,3,153.64999999999998,2,9.0
5,324.0892259919999,0.06317000000000011,8,5,0.38461538461538464,6,2,136.57999999999998,1,9.0
6,548.263484872,2.3736000000000033,10,2,0.4666666666666667,8,5,119.49,2,9.0
7,394.16410518399994,1.6686699999999999,8,5,0.23809523809523808,7,3,136.57999999999998,2,9.0
8,562.3155204440001,3.8983000000000043,9,2,0.5625,10,5,110.25999999999999,2,9.0
9,498.284220316,2.355000000000002,9,2,0.6296296296296297,9,4,110.25999999999999,1,9.0
10,498.284220316,2.355000000000002,9,2,0.6296296296296297,9,4,110.25999999999999,1,9.0
11,548.29987038,3.508200000000004,9,2,0.5483870967741935,9,5,110.25999999999999,2,9.0
12,540.30601838,1.9608700000000021,11,4,0.6071428571428571,9,4,151.33999999999997,1,8.77
13,544.2645474919999,1.2368700000000024,13,4,0.5769230769230769,8,4,169.79999999999998,1,8.77
14,472.2685702519999,2.0942999999999987,9,3,0.6,11,3,124.24999999999999,1,8.77
15,500.27471825199996,1.2285700000000022,11,5,0.56,11,3,160.12999999999997,1,8.77
16,541.3012673479999,1.3636700000000026,12,5,0.5925925925925926,8,4,163.36999999999998,1,8.77
17,546.3529685719999,2.6885700000000012,11,4,0.8214285714285714,9,4,151.33999999999997,0,8.721
18,493.3012673480001,0.5522000000000047,12,4,0.782608695652174,5,3,154.87,0,8.523
19,468.26963287200005,0.5064000000000046,12,5,0.7619047619047619,8,2,171.85999999999999,0,8.398
20,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0,8.398
21,426.22268268000005,-0.37569999999999504,12,5,0.7222222222222222,5,2,171.85999999999999,0,8.398
22,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0,8.398
23,468.26963287200005,0.5064000000000046,12,5,0.7619047619047619,8,2,171.85999999999999,0,8.398
24,534.247834808,2.4447000000000028,10,2,0.4482758620689655,7,5,119.49,2,8.398
25,541.3012673479999,1.3558700000000028,12,4,0.6296296296296297,9,4,164.23,1,8.337
26,572.2150104560001,2.278200000000002,12,2,0.5555555555555556,8,5,149.18,2,8.301
27,534.247834808,2.5869000000000018,10,2,0.4482758620689655,7,5,119.49,2,8.301
28,425.238667092,-0.8489999999999951,12,5,0.7222222222222222,7,2,165.87,0,8.301
29,512.29987038,2.7451000000000025,9,2,0.6428571428571429,10,4,110.25999999999999,1,8.301
30,518.2529201880001,2.4616000000000025,9,2,0.4482758620689655,6,5,110.25999999999999,2,8.301
31,526.3155204440001,3.135200000000003,9,2,0.6551724137931034,11,4,110.25999999999999,1,8.301
32,549.2587338399999,1.7053200000000008,11,2,0.5172413793103449,7,5,139.69000000000003,1,8.301
33,425.238667092,-0.8026999999999946,12,6,0.7222222222222222,5,2,174.66,0,8.301
34,430.19646793199996,-0.2607299999999971,11,5,0.45,6,3,160.12999999999997,1,8.284
35,484.268570252,1.964900000000002,9,2,0.6153846153846154,8,4,110.25999999999999,1,8.222
36,543.269298524,1.2585000000000035,12,3,0.5925925925925926,9,4,148.58999999999997,1,8.222
37,555.3169174120001,1.705870000000003,12,4,0.6071428571428571,8,4,154.58,1,8.222
38,504.237270124,2.532700000000002,9,2,0.42857142857142855,5,5,110.25999999999999,2,8.222
39,546.2842203160001,3.041000000000003,9,2,0.4838709677419355,8,5,110.25999999999999,2,8.222
40,333.143704088,0.3933699999999993,9,6,0.3333333333333333,6,2,148.60999999999999,1,8.222
41,520.232184744,2.658000000000002,10,2,0.42857142857142855,6,5,119.49,2,8.155
42,410.22776806,-0.7380999999999951,11,5,0.7222222222222222,5,2,162.63,0,8.155
43,440.263484872,1.5818000000000012,10,3,0.8095238095238095,8,2,133.48,0,8.155
44,384.175732488,-1.544399999999996,12,5,0.6666666666666666,5,2,171.85999999999999,0,8.046
45,494.28528293600004,1.0582700000000043,12,4,0.782608695652174,6,3,160.57,0,8.046
46,560.29987038,2.9699000000000035,9,2,0.5,9,5,110.25999999999999,2,8.046
47,318.13280505599994,0.0016700000000000048,8,5,0.3333333333333333,6,2,136.57999999999998,1,8.046
48,520.268570252,2.7280000000000024,9,2,0.5172413793103449,7,5,110.25999999999999,2,8.0
49,424.243418124,-0.34799999999999476,11,5,0.7368421052631579,6,2,162.63,0,7.959
50,513.25873384,1.360900000000003,11,3,0.5769230769230769,8,4,139.35999999999999,1,7.921
51,480.26963287200005,0.6681700000000037,12,4,0.7727272727272727,6,3,160.57,0,7.921
52,470.25292018799996,1.4931200000000018,9,2,0.6,6,4,110.26,1,7.886
53,466.1634535519999,-0.7122299999999966,12,5,0.47368421052631576,7,3,177.19999999999996,1,7.886
54,486.24783480799994,1.193300000000002,10,2,0.6,7,4,119.49,1,7.854
55,520.232184744,2.658000000000002,10,2,0.42857142857142855,6,5,119.49,2,7.824
56,534.247834808,2.5869000000000018,10,2,0.4482758620689655,7,5,119.49,2,7.77
57,527.274383904,0.6910000000000047,11,3,0.5925925925925926,9,4,139.35999999999999,1,7.77
58,339.19065428,0.20357000000000042,9,6,0.7333333333333333,6,2,148.60999999999999,0,7.745
59,488.263484872,2.1542000000000003,10,3,0.6,7,3,133.48,1,7.721
60,468.200884616,1.611900000000002,10,2,0.5,4,5,123.39999999999999,2,7.678
61,476.29987038,2.302500000000001,9,2,0.84,7,4,110.25999999999999,0,7.62
62,466.279134936,1.8425000000000011,10,2,0.8260869565217391,6,3,119.49,0,7.538
63,437.26381921999996,0.7810000000000026,10,3,0.8095238095238095,4,3,122.29,0,7.523
64,423.24816915599996,0.5334000000000028,10,3,0.8,3,3,122.29,0,7.523
65,496.268570252,1.6734000000000024,9,2,0.6296296296296297,5,5,110.25999999999999,1,7.523
66,478.22162006,2.0189000000000012,9,2,0.46153846153846156,4,5,110.25999999999999,2,7.523
67,468.294785,2.362000000000001,10,3,0.8260869565217391,10,2,133.48,0,7.495
68,454.279134936,1.9719000000000009,10,3,0.8181818181818182,9,2,133.48,0,7.469
69,504.192818468,4.215300000000004,7,4,0.25,7,4,104.53,3,7.42
70,504.192818468,4.215300000000004,7,4,0.25,7,4,104.53,3,7.42
71,482.28528293600004,0.8965000000000034,12,5,0.7727272727272727,9,2,171.85999999999999,0,7.409
72,510.284220316,2.913400000000002,9,2,0.6428571428571429,5,5,110.25999999999999,1,7.398
73,504.237270124,2.532700000000002,9,2,0.42857142857142855,5,5,110.25999999999999,2,7.377
74,486.21144929999997,0.5233000000000028,11,2,0.5833333333333334,5,5,128.72,1,7.26
75,475.24308377600005,1.6727000000000007,11,3,0.6086956521739131,6,3,146.36999999999998,1,7.215
76,508.30093300000004,1.448370000000004,12,4,0.7916666666666666,6,3,160.57,0,7.201
77,466.0834719159999,3.394300000000002,9,1,0.08695652173913043,6,4,119.08,3,7.192
78,492.237270124,1.9478000000000022,9,2,0.48148148148148145,5,5,110.25999999999999,2,7.155
79,347.159354152,0.07107000000000036,9,6,0.375,7,2,148.60999999999999,1,7.149
80,508.30093300000004,1.448370000000004,12,4,0.7916666666666666,6,3,160.57,0,7.149
81,484.24744088399996,3.870320000000002,7,4,0.27586206896551724,7,4,104.53,3,7.131
82,484.24744088399996,3.870320000000002,7,4,0.27586206896551724,7,4,104.53,3,7.131
