,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings,SMILES
1861,149.925128912,0.41679999999999984,2,0,0.5,1,0,26.3,0,O=C(O[Na])C(Cl)Cl
1862,552.353637268,2.6972000000000014,11,4,0.6206896551724138,9,5,121.10999999999999,2,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
1863,390.149204068,3.384800000000002,6,4,0.045454545454545456,6,3,97.11,3,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1
1864,404.1093729919999,2.1461,5,4,0.3333333333333333,4,4,90.15,3,OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O
1865,510.08927516000006,-5.858499999999997,15,4,0.7142857142857143,10,2,218.55,1,C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O.[Na+]
1866,122.07316494,1.2214,1,1,0.25,2,1,20.23,1,OCCc1ccccc1
1867,388.04952432399995,-3.633599999999997,7,1,0.4375,5,3,98.77000000000001,1,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+]
1868,489.11522554399994,-3.404699999999993,15,6,0.875,8,2,227.60999999999999,0,*.CO[C@@H]1O[C@H](COS(=O)(=O)O)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)O)C(C)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
1869,317.104541708,-1.000729999999999,8,6,0.5833333333333334,7,2,145.22,0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12.O
1870,546.0991390440001,-1.2991999999999946,13,4,0.3181818181818182,9,4,191.22,2,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O
1871,423.12288033600004,2.4030000000000005,7,1,0.3157894736842105,2,4,68.78,2,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1.Cl.Cl
1872,213.007181888,1.157,5,1,0.8,5,0,61.77,0,O=NN(CCCl)C(=O)NCCCl
1873,862.8760901420004,3.281700000000002,17,3,0.7058823529411765,19,3,211.90999999999994,2,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O[Na])OP(=O)(O[Na])C(Cl)(Cl)P(=O)(O[Na])O[Na])[C@H](O)[C@@H]1O
1874,463.28349204399996,4.857100000000004,6,1,0.5,10,4,67.59,3,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21
1875,167.87430458,0.3087,0,0,0.0,0,0,0.0,0,Cl[Cs]
1876,500.2385735,4.427400000000004,6,3,0.5769230769230769,12,2,96.22000000000001,1,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
1877,452.32904526799996,7.512900000000009,3,0,0.7333333333333333,10,4,43.370000000000005,0,C=CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
1878,180.03360237991,-0.9421999999999995,5,1,0.8,4,0,86.3,0,*.CC(=O)NCCCS(=O)(=O)[O-]
