SMILES,pIC50
CC(C)(C)C(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1,8.155
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCCN)[C@H]2C(=O)O)CC1)C(C)C,8.155
COC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1,8.046
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,8.046
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(CCCc3ccccc3)cc2)CC1,8.046
N=C(N)NCCC[C@H]1C(=O)N(C(=O)c2ccccc2)[C@@H]1C(=O)O,8.046
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCc2ccc3ccccc3c2)CC1,8.000
CC(C)(C)CC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1,7.959
O=C(CCCC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1)Nc1ccccc1,7.921
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,7.921
Cc1cccc(CCC(=O)N2CCN(C(=O)N3C(=O)[C@H](CC4CCNCC4)[C@H]3C(=O)O)CC2)c1,7.886
N=C(N)NCCC[C@H]1C(=O)N(C(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)[C@@H]1C(=O)O,7.886
COc1cccc(CCC(=O)N2CCN(C(=O)N3C(=O)[C@H](CC4CCNCC4)[C@H]3C(=O)O)CC2)c1,7.854
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cccc(Oc3ccccc3)c2)CC1,7.824
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2cccc(Oc3ccccc3)c2)CC1,7.770
O=C(CCC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1)NCCc1ccccc1,7.770
N=C(N)NCCC[C@H]1C(=O)N(C(=O)NC2CCCCC2)[C@@H]1C(=O)O,7.745
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](Cc3cccc(CN)c3)[C@H]2C(=O)O)CC1)C(C)C,7.721
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cc3ccccc3o2)CC1,7.678
